GeneName  Indicator
NALCN 0
CSRNP1 0
IFITM2 1
H2BFWT 0
LRRC28 0
SZT2 1
GNA12 1
SLC25A41 0
CACNG1 0
ESR2 0
CORO6 0
PTCD1 0
ACO2 1
TRIM38 1
ALS2CR12 0
ZNF780A 0
LOC158434 0
NOS2 0
GART 0
EEF1G 1
COL22A1 0
FNDC9 0
TMEM109 1
ST13 1
TRAK1 1
SLC33A1 1
CHCHD4 1
PDE7A 0
ELMOD2 0
DUSP9 0
INTU 0
MME 1
LYG2 0
SEMA5A 0
TYROBP 0
TMEM154 0
DEFB106A 0
NXPH3 0
TMEM165 1
GYS2 0
KRTAP24-1 0
RPUSD4 1
CT47A8 0
KRTAP4-2 0
TXNDC9 1
SLC7A8 0
ALG1L 0
SOX12 1
OCM 0
C12orf59 1
FSD2 0
COL2A1 0
KIF1B 1
URGCP 1
CERCAM 0
SLC22A15 0
MEGF10 0
MYLIP 0
SLC6A19 0
FASTK 1
CSRP1 1
PRKAB1 0
CDC25B 0
MRPL43 1
IL29 0
IFT122 0
NPPB 0
CSNK1A1L 0
SPC25 0
KDELR3 0
CGRRF1 1
CADM4 1
KLF12 1
ADH4 0
NARS 0
NPFFR2 0
SYT3 0
TOB1 1
DAPP1 0
MATN4 0
KRT76 0
POMT2 0
SECISBP2L 1
AKR1C3 1
MOCS2 0
MED14 0
OR11A1 0
CDK8 1
VSIG1 0
TBC1D10B 0
ERG 0
UQCRC1 1
AMOTL2 1
PSMD3 0
MAPK8 1
ACTL6B 0
CHRNA9 0
TCERG1L 0
HTATIP2 0
SNAP91 0
MRPL48 1
GLS2 1
TTC23L 0
DST 0
JAG1 0
PTPN2 0
APC 1
TUBA3D 1
NUDT21 0
MEST 0
OR11H4 0
HIF1AN 0
NLGN4Y 1
SEC14L5 0
KRTAP3-1 0
STBD1 0
MDH2 1
ROR2 1
CBWD5 1
SENP2 1
DKKL1 0
SBF1 0
DUSP27 0
DNAJB13 0
OR10T2 0
TRMT61A 0
OR4N4 0
MPEG1 0
GLTSCR1 0
TYW1B 0
B3GALT5 1
OR14C36 0
SCN7A 0
DMKN 0
RASGRP2 0
CSF3 0
CSNK1G3 0
LOC728379 0
PSD 1
RPLP1 1
DARC 0
FARS2 1
HN1 1
FXYD3 0
TOMM40 0
PLA2G15 1
PDZD2 0
DOCK8 0
CTAG1B 0
KCTD15 0
MTRNR2L3 1
PPAPDC1A 0
FAM189A1 0
ACCS 1
NEUROD4 0
C7orf62 0
SIRT6 1
ZNF410 0
NRBF2 0
ZNF576 0
ADARB2 0
N4BP2 0
EIF2B2 1
MELK 1
NFKBID 0
YBX2 0
VGLL4 0
ETF1 1
SART1 1
BEND3 0
PANK2 0
PLAC9 0
SLC22A13 0
PPP1R15B 1
RRM1 0
ELAC1 0
ZNF19 0
BMP4 1
DAOA 0
SNAI1 0
CLEC1B 0
SEC16B 1
XKR5 0
SLC25A45 1
RAD21L1 0
C2orf56 1
MSMP 0
SELP 0
RNF31 1
CEP104 1
YY1 1
IK 1
HPCA 0
NOTCH4 0
PCDH10 0
FCRL2 0
GPR124 1
WDFY1 1
OR5C1 0
MAPKBP1 0
COQ5 1
C17orf78 0
CNTN1 0
CTXN2 0
NT5C3L 0
TTC7A 0
NIPAL3 1
CAPZA3 0
RNF114 0
SLC35B3 0
BEX5 0
NFYC 1
ALOX5 0
SRPR 1
UPB1 1
FGA 0
SLC2A1 1
RBM11 0
ISCA2 1
TMEM187 1
TBC1D3G 0
MSH4 0
BCKDHA 1
LRRC40 1
LOC100130357 0
MRPS21 1
BHLHE22 1
FAM110A 1
UBE2S 0
MS4A8B 0
JPH3 0
TMEM89 0
SLC22A18AS 0
OR4D2 0
TFDP1 0
MBD3L2 0
NRD1 0
DPM3 1
ELOVL3 1
NADKD1 1
CYP39A1 1
CRMP1 0
CSPG4 1
FBXL4 1
JMJD7-PLA2G4B 0
ARHGAP6 0
IMMP1L 1
PPP1R1A 0
PHF3 1
FAM167B 1
RHBDF2 0
UGCG 1
ZNF254 1
KCNJ8 1
C17orf108 0
XXYLT1 1
CLDN1 0
IQCC 0
GNPTAB 0
TNIP1 1
SPEM1 0
ZNF675 0
OLIG3 0
MASP1 1
R3HDM1 1
OTP 0
DEFB103A 0
C15orf39 1
NSDHL 0
NLRP4 0
THAP9 0
NEUROD1 0
BTNL8 0
MCM7 0
HN1L 0
TBRG4 0
FOXN1 0
TIPRL 1
C16orf55 0
NKX6-1 0
ZNF646 0
DDX58 0
BBS9 0
IPO7 1
MUC6 0
PSMA8 0
CDK12 0
DSCAML1 0
FOXL1 1
DEFB108B 0
MYL4 0
SYT7 0
C3orf72 0
PCDHB5 0
IL3RA 0
CBR1 1
COX6A1 1
C12orf70 0
AQPEP 0
DRAP1 1
CCDC36 0
C6orf48 1
POFUT1 1
MANBAL 1
DBN1 1
MYOCD 0
PARD6A 0
HNRNPH1 1
RBM8A 1
PAK1IP1 1
MMP10 0
AADAC 0
FAM21C 0
GTF2I 1
ASB1 1
PLEKHB1 0
TAF4B 0
HDLBP 1
IRF8 0
FIZ1 1
CWC22 1
DZIP1 0
DCLK3 0
NEFL 0
TNFAIP8L2 0
MSN 1
PAK3 0
HDX 0
TNFSF11 0
TBX1 0
FOXO4 1
SRP19 0
ZFYVE20 0
PAX3 0
GSDMC 0
TNNT3 0
EHD2 1
GRPR 0
PIGZ 1
NAP1L5 1
HAO2 0
SULT1A3 1
SCGB3A2 0
SPACA3 0
NKX2-4 0
ARL6 0
NUMBL 0
BAIAP3 0
MAL 0
GLRA4 0
NPL 0
FKBP1B 0
C9orf100 0
APOBEC3H 0
CPE 0
GPRC5D 0
PLA2G4A 0
C1R 0
DNMT1 0
ZNF471 0
GIGYF1 0
PYROXD2 1
LHX9 0
C17orf48 1
SYT13 0
UQCRB 1
TGDS 1
FBXL19 0
EEFSEC 0
OR4D10 0
NKX3-2 0
C7orf23 1
LCLAT1 1
NGLY1 1
PRAC 0
FOXH1 1
SPI1 0
ATXN7L3 1
C8orf86 0
PIK3CB 1
BTBD18 1
ANAPC16 1
ATG12 1
OR10S1 0
TRIM66 0
PAGE2B 0
GFRA1 1
OR2T5 0
OR4K2 0
MFHAS1 1
KLK12 0
CATSPERD 0
SEL1L3 0
FAM156A 0
SLC35F3 0
C1QL2 0
MPP6 1
UBB 1
ESCO1 0
ZC3H18 1
SFXN1 1
ERN2 0
IFIT5 0
DNAJC4 1
UST 0
CREB3L1 1
F2RL2 1
INPP5E 0
ATP13A3 0
HSPA6 0
CGB1 0
HIST1H4J 1
TSPAN8 0
CCDC104 1
ZDHHC2 1
OR51Q1 0
DLG4 0
CAMK1 0
RERG 0
EXOC3L2 0
GM2A 0
CFH 1
BPIFB4 0
VWA7 0
KRTAP13-4 0
RAB33A 0
GPATCH2 0
GLI3 1
COMMD6 1
ENTPD2 0
PDE6G 1
MYEOV 0
SPTLC3 0
FABP1 0
NYNRIN 0
SUPT5H 0
PRRX1 0
BNC2 0
MRPS9 1
WNT16 0
NPLOC4 1
TMSB4X 1
CYBA 1
PPHLN1 0
LPCAT3 0
UCHL5 1
CHRNA2 0
HSPA1A 1
NEGR1 1
OR9A2 0
SH3BGRL 1
USF2 1
LARS 1
FGFR3 0
NIF3L1 0
TRAP1 1
MYH4 0
TTC29 0
SCRT2 0
AP1G2 0
C11orf40 0
FXC1 0
MITD1 0
ZNF212 0
PAQR7 0
OR1E1 0
ROR1 1
MAVS 0
ABCD2 0
IQCF1 0
PRR22 0
GRB7 0
OR4K17 0
SDHA 1
SNX14 0
SNX25 0
DDX56 1
PLAUR 1
OR6N2 0
ARFGEF1 1
SACS 1
SP9 0
C10orf53 0
MEP1A 0
JAK3 0
APOE 1
E2F3 0
KIF2C 1
SDR9C7 0
CCS 1
STAT4 1
DTYMK 1
DCTN4 0
FAM25G 0
DDX31 0
AVPR1B 0
RSPH1 0
ATXN1 1
FAM46C 1
SLC24A1 0
CFHR1 1
ANXA13 0
CARD14 0
DUSP5 1
C22orf32 1
MGAT5 1
SMOX 0
SGK196 1
NFXL1 1
GDF15 1
SLC39A12 0
C20orf152 0
SLC43A3 0
SP140L 1
RPS27L 1
OR52E4 0
FAM213A 1
PDXDC1 1
RABGAP1 1
ARG1 0
C2orf15 0
ASH2L 1
ARPP19 1
IGF1 0
NDUFC2 1
HSF4 0
TSPEAR 0
POLR2K 1
ZNF358 1
FXN 0
RAD21 1
CACNB2 0
SNRPB2 1
GML 0
H3F3B 1
SFTPA2 0
LSM6 1
TMEM61 0
TMEM185A 0
USP7 1
LAIR2 0
ACPP 0
CHST8 0
POLR3D 0
C9orf78 1
SESN1 0
PTRH2 1
TMEM9B 1
C17orf74 0
TYW3 1
GTF2F2 0
DPYSL2 1
FAM76A 1
MYL1 0
C8orf45 0
NRBP2 0
LEO1 1
PPIH 1
GTF2A1 1
AP4E1 1
FAM217A 0
ATRX 1
CDH8 0
GAS1 0
GABRA4 0
FAM158A 1
CCDC89 0
PCNXL3 0
ZSCAN4 0
AGPHD1 0
OTUD5 0
SWAP70 0
PRKAG1 0
PAGE2 0
FAM208B 1
EML5 1
SS18L1 0
SERPINB3 0
HNRNPU 1
SLC4A1 0
CMTM8 0
ORAI1 0
CXorf41 1
FBXO8 0
CHUK 1
KIR3DL1 0
CCDC50 0
TNFRSF11A 0
PDLIM7 1
CLEC2B 0
FAM115A 1
CD34 0
FGFRL1 0
MT-ND5 1
USP48 0
EFCAB11 0
C11orf48 1
TRIM31 0
SLC34A2 0
CNGB3 0
RBM18 1
ATG14 1
C22orf26 0
FAM20C 0
DTNB 0
C19orf35 0
CACNG7 0
TMPRSS7 0
PSMD5 1
RAP2A 1
LPAR3 0
MSANTD3-TMEFF1 1
EZH1 0
THEM5 0
PEX10 1
AP3M2 1
HERPUD1 1
FOXJ1 0
SLC17A9 0
ZDHHC24 0
LHPP 1
RENBP 0
SOGA2 0
ABCF1 1
SOCS5 1
RPSA 1
SGSM3 0
C16orf5 1
PMS1 0
RABGGTB 1
UBXN7 0
DUSP13 0
ASB5 0
VN1R4 0
CGB5 0
KAAG1 0
SLC39A10 1
STX19 0
SMR3B 0
CEACAM20 0
PREB 1
DHDH 0
PEX5L 0
PCBD1 0
KRBA1 0
SLC18B1 0
SYN3 0
GRM8 0
QRICH1 1
IFNG 0
TKTL1 0
RLIM 0
ATG2B 0
DHRS9 0
KIAA1009 0
NCOA6 0
ADCK5 0
ZFP90 0
NAA60 0
LRRC56 0
FBXL3 1
APPBP2 1
OPN1MW2 0
KRT75 0
TMEM245 1
ZBTB38 1
KIT 0
PQLC1 0
WDFY4 0
EFNB3 0
EMILIN1 1
OGFR 0
IL18BP 1
SDHAF1 1
PACSIN2 1
AP1S2 0
ZNF772 0
CDK2AP1 1
KIF26B 1
FREM1 0
GALR3 0
MED24 1
C6orf10 0
SNED1 0
RINL 0
SLC29A4 0
BOC 0
COG4 0
FN3K 0
C1orf124 0
UCHL1 1
OR52L1 0
KIR3DL2 0
FARP1 1
GPHA2 0
HERC5 0
HECW1 1
SREBF1 0
CENPC1 1
CHP2 0
L2HGDH 0
RSRC1 1
AHSG 0
KLHL13 0
CHST9 0
DIEXF 0
TLX1NB 0
CTNNA3 0
MBLAC1 0
SLC27A2 0
PSMB8 0
PLEKHA6 1
HNRNPC 1
ZNF248 0
C22orf43 0
HK3 0
C17orf110 0
CDKL2 1
TIPIN 0
PSTK 0
ZNF703 0
OR51F2 0
SIK1 0
WIZ 1
PPP2R5A 1
SIPA1 1
PLEKHG5 0
POFUT2 1
FAM211A 0
CES5A 0
TK2 1
AIM2 0
ATP6V0D1 1
CLIC4 1
UBL4A 1
SNUPN 1
RAD52 0
DEFB104A 0
ZFP112 1
LCE1B 0
ZBTB6 0
C10orf27 0
NFS1 0
ETFA 1
ERAS 0
RPS26 1
RIMBP3C 0
PTDSS2 1
H1F0 1
RPL13A 1
TAS2R43 0
RANBP3 1
LUC7L2 0
TSPAN18 0
MFSD8 0
PLEKHA1 1
LYPD6B 1
PNMA2 0
OSBPL8 0
FAM210B 0
FAM59B 0
SCFD1 1
PSMC1 1
RIT2 0
LAMA2 1
CHTOP 1
RASIP1 0
C9orf9 0
TMEM45A 0
TMEM140 1
HIST1H2AL 0
ARID3C 0
CDHR2 0
AGPAT3 1
NFKBIL1 0
KRT73 0
RARRES3 0
SOHLH1 0
FOXD1 0
RNF20 1
RBPMS 1
ZBTB8B 0
C17orf82 0
HIP1R 0
FCGRT 0
DMRTA1 0
BMPR2 1
NFYA 0
FRG2 0
RASD2 0
TAF1A 1
ZNF536 0
ZNF572 1
CRYBA2 0
TUT1 0
NUDT3 0
CDH2 1
LRIG1 1
DLGAP4 1
NOL3 0
ST6GAL2 0
DBP 0
RPS10 1
RNASE2 0
DUSP15 0
HBB 0
PTPN20B 0
AVEN 0
VTCN1 0
RTEL1 0
HMP19 0
ATP2B3 0
POU3F1 0
ADPRHL1 1
RASGEF1C 0
C10orf91 0
BCL2L10 1
IZUMO2 0
GRIN3A 1
ZNF789 0
PKP2 0
TSLP 0
OR1Q1 1
ENOPH1 1
MDGA1 1
C9orf50 0
KHDRBS3 0
IGSF10 1
NKX2-3 0
MATK 0
LRRC69 0
CLEC4A 1
CCR8 0
STRADB 0
MRPS33 1
LRFN5 0
RAB6B 0
PRR9 0
MOB3C 0
FABP3 0
NME4 1
OR10AD1 0
ZNF629 0
EFNB1 1
SOS2 0
AQP12B 0
MYOZ2 0
KRTAP6-3 0
ST3GAL1 0
SPTY2D1 0
HMGB1 1
JUN 0
NHLRC3 1
DGCR6 0
MRPL53 1
APIP 1
ZBTB11 0
KIAA0408 0
ZNF250 0
AQP6 0
PAN2 0
RBCK1 0
FABP12 0
TPPP3 0
ZNF616 0
FAM149A 1
IBA57 0
CALU 1
INPP4B 1
NUDC 0
C6orf62 1
ADAMTS13 1
IDH2 0
LHX4 0
GLIPR1L1 0
FBXW9 0
SLC35A4 1
OR14J1 0
PHLDA2 1
IGSF11 0
TMEM14E 0
RIPK2 1
PNLIPRP1 0
YPEL1 0
SLAMF9 0
C2orf16 1
HMGN4 0
SCN8A 1
TAF1D 1
THEG 0
LY6G5C 0
ARPC2 1
SUDS3 1
DNAJC6 1
MYL12A 1
GPR4 0
MYOG 0
HIST1H2BL 0
FAIM 1
UBAP1 1
RGPD6 0
NTN4 1
ZNF468 1
HIST1H2AH 0
TRAIP 1
CLN6 0
PPP2R3A 1
ALG8 0
RPS21 1
CABS1 0
NDUFA11 1
C14orf93 1
DCAF17 1
CHN1 1
MYOF 1
AUTS2 0
CHRNA7 0
ZBTB8OS 1
ADAMTS16 0
ULK2 0
KCNC3 0
HSPA8 1
DHX15 0
OR10X1 0
CCDC61 0
RC3H2 1
QRICH2 1
LTK 0
BGN 1
HSPH1 0
ABO 0
SLC5A12 0
POU5F1 0
PRMT7 0
CAMLG 0
VMAC 1
IRF4 0
TP53I11 1
OR9G9 0
OR5AS1 0
MRPS18B 1
METTL2A 0
LCMT1 1
LDOC1 0
PDZD3 0
ELOF1 1
EGR3 1
OR9K2 0
EPB49 0
RPL4 1
ZNF792 0
BEX4 1
PRICKLE3 1
FAM181A 0
GSTM3 1
PPFIBP2 0
PNN 1
HDHD2 1
BCL2L12 0
MTIF3 1
C12orf71 0
GAGE1 0
MYO1B 1
ANKRD20A4 0
GPR32 0
PRCP 0
SPATA16 0
OR2L8 0
CD79B 1
SRD5A3 1
WIF1 0
PCDHA1 0
DNAAF1 0
UCMA 0
IGFBPL1 0
BAP1 0
ZNF434 1
HERC6 1
ZXDC 1
FRZB 0
BRI3 1
TRIM9 0
EXOC2 1
LCE2D 0
C12orf12 0
C3orf14 1
TUBA8 0
POP4 0
TOX2 0
KIAA0226 1
LRRC45 0
C15orf33 0
MT-ND2 1
DHRS4L2 0
FTO 1
CYP1A2 0
KRT17 0
C19orf81 0
FAM125B 1
DHDDS 1
HSPB6 1
CYLC2 0
C9orf171 0
NOVA1 0
C15orf53 0
CALM3 0
ATXN3 1
GAL3ST1 0
TRIM3 0
SLC35E4 0
NEK6 0
CXCL5 0
KIAA1919 0
MCF2L2 0
NGDN 1
NOL7 1
FOXR1 0
RYR2 0
WDR93 0
RBM17 1
EFHA1 0
DMTF1 1
TAS1R3 0
SETDB2 0
CYP3A4 0
ZMYM4 1
SCP2 1
SEPT9 1
DDX11 0
NIPAL1 0
GRK4 0
PPP1R1B 0
C8orf44-SGK3 0
TRIB3 1
RPS9 1
ERMP1 1
CT62 0
SHROOM3 0
GPR180 0
OSBPL11 1
ELF5 0
COMMD4 1
PCDHGB7 1
FKBPL 0
SEL1L 1
AOX1 1
DDIT3 1
CERS1 0
C21orf91 0
COL17A1 0
HIVEP1 1
PDE5A 0
SSX1 0
SLC16A7 0
SFXN5 0
ANAPC4 1
IL28RA 0
CEP120 0
UBE2F 1
CDR1 0
MED22 0
DNASE2 0
CMPK2 0
AKIRIN1 1
CXorf1 0
C20orf203 0
RET 0
MLL4 1
PRAMEF3 0
C16orf11 0
TRPM8 1
FPR3 0
FAM111B 0
CASP7 0
TAAR9 0
YIPF6 0
ZNF749 0
CDKL4 0
PGAM2 0
ZNF518B 0
MRPS34 1
CHRNA6 0
GRB14 0
OR5AN1 0
DMPK 0
MGAM 0
CGN 0
PABPC1L2B 0
ATP6V0A4 0
MCM2 0
FAM83H 1
RAB20 1
LHCGR 0
SEMA7A 1
C1orf198 1
CBX3 1
RAC2 0
GABBR2 0
MCCD1 0
CACNA1G 0
CXCR3 0
ATP8A2 0
NDEL1 1
SEC23B 1
XRCC6 1
RPAP1 0
REL 0
PKHD1L1 0
TMEM200C 0
SPEF1 0
GALNT2 1
SEMA6B 0
C18orf25 1
PNLIP 0
PROKR2 0
IFNGR2 1
ANKRD53 0
JMJD7 0
PEX11B 0
REEP5 1
VIL1 0
IKBKAP 0
CTU2 1
ANKRD45 0
DDTL 0
MSC 0
DCDC2 0
OR2T11 0
INO80B 0
NFATC2IP 0
TAS2R3 0
C8orf42 0
ATN1 1
CHRND 0
C1orf86 0
ST8SIA1 0
WDR19 1
SHISA4 0
FADS3 1
MACROD2 0
ACOT9 1
RASSF3 1
MRPS23 0
CD44 1
OR11H12 0
RNF133 0
OR10J5 0
HSF1 0
HSD17B7 0
PATL1 0
ZDHHC17 1
GPR34 0
DCAF4 1
GABRA6 0
ATXN1L 1
MORF4L1 1
FAM123B 1
TMEM163 0
MATR3 1
BCKDHB 0
TSGA13 0
PDE6C 0
KRT28 0
DNAJB11 1
TRAPPC1 1
DYNLL1 1
CDH20 0
TMEM238 0
SLC22A8 0
HSD11B1L 0
CRABP2 0
TMEM104 0
UGP2 1
ESYT3 1
SPAG16 0
AP4S1 0
KLK11 0
CLRN3 0
SERBP1 1
HMGXB4 1
PERP 1
FOXRED2 0
SNTG2 1
PRDM4 1
IER5 0
TBR1 0
KRTAP19-7 0
YIPF3 0
POLD1 0
ELAVL3 0
GNMT 0
TMC5 0
NOL4 0
ARMC7 1
CGREF1 0
KRTAP17-1 0
KLHL24 0
BCR 1
CD59 1
ZNF791 0
XAF1 0
CYB5D1 0
HCAR2 0
NCK2 0
ZNF548 0
TRPM2 0
B2M 1
RAB30 0
LSM5 1
CEACAM3 0
MYLK3 0
WDR72 0
KLHL12 0
CDYL2 0
ENOSF1 0
FCGR2A 0
PRKACA 1
ENPEP 0
C7 0
SMARCC1 0
CBX1 1
SERPINE1 1
SLC6A8 1
SCN1A 0
CDC42SE2 1
TMCC2 0
CTLA4 0
MAGEA9B 0
INO80E 1
CAPN11 0
CHMP1A 0
ADAP2 0
CCDC53 1
BTBD11 0
MAGEA9 0
ALDOA 1
CCL11 1
TAF5L 0
DEFB110 0
EFR3B 0
CCNDBP1 1
DNM3 0
SPINK1 0
SLC25A12 0
PITPNB 1
CCDC75 1
FDXR 1
RASSF7 1
C5orf55 0
HSBP1L1 1
DSCAM 0
ENO3 0
RUVBL1 0
SIRT4 0
GAGE6 0
CDK13 0
CAPN9 0
TLN1 1
TNFSF18 0
ONECUT1 0
FMO5 1
B4GALT6 0
CD177 0
SFRP5 0
CARS2 0
CYFIP1 1
RPL10L 0
SLC24A6 1
KBTBD12 0
TBC1D29 0
C2orf69 0
OIP5 1
HIST1H2BD 1
MMGT1 0
PCDP1 0
MTRNR2L10 1
EHBP1L1 1
C2orf70 0
TRA2B 0
TCEANC2 0
KLC3 1
SLC7A1 1
QSER1 1
TPM1 1
ZNF563 0
LY6E 1
DYNLRB2 0
DHX16 1
MOBP 0
WNT8B 0
NBPF11 0
IVL 0
MLLT6 1
OFD1 0
WDR12 1
SPANXN5 0
ZNF295 1
HS6ST1 1
FAM166A 1
MTDH 1
CLIP3 1
ZNF615 1
FOXP3 0
FOXD4L3 0
C1orf101 0
TIGD7 1
TNFSF12-TNFSF13 0
NTN3 1
LARP4B 0
CLDN14 0
ATP5G1 1
C11orf83 1
YEATS4 0
OR2T29 0
CHURC1-FNTB 1
RASD1 0
C5orf60 0
CCDC152 1
SYNGAP1 0
CHAC2 0
ZNF732 0
RRAD 1
CACNA1F 0
FAM50B 1
MPP2 0
NNMT 1
WDR62 0
ZNF638 1
SGSM1 0
CHRNG 0
DHX34 1
DEFB106B 0
C5orf62 1
ARRDC5 0
TMEM63B 1
DNPEP 0
MLKL 0
OR51T1 0
ZNF213 0
NIP7 0
HOXB6 0
ACOT11 0
OCIAD1 1
SMNDC1 0
SCML1 1
SPACA4 0
CPNE2 0
TMEM189 1
NVL 0
PRR21 0
ERO1LB 0
C15orf41 0
EGR2 1
PSG11 1
OR8G2 0
KCNG2 0
EIF5A 1
GRIN2A 0
LY6D 0
PLIN1 0
WDR1 1
ZNF556 0
SPINLW1 0
PPP1R12C 1
VWA2 0
FBLN7 0
LPIN2 1
OR4A47 0
ZNF592 1
ACE2 0
FOXK1 1
CCDC28B 0
ASPSCR1 1
SPCS3 1
ATP5I 1
PPP1R3F 0
PRR19 0
MUC15 0
ZNF443 0
GNS 1
CDY2B 0
ADCY8 0
IRF7 1
ARPP21 0
BPTF 1
ZNF10 1
ALKBH7 1
MYH11 1
SLC25A44 0
PITPNA 1
TUFM 0
DFFB 0
OOEP 0
C1orf109 0
ZFR 0
PPP1R13B 1
METTL14 1
GLI2 1
OR6C68 0
SLCO6A1 0
MYH10 0
VARS2 0
SPTBN5 0
WBSCR22 1
BCL2 0
CHAMP1 1
ZBTB43 1
SLFN11 0
PAFAH1B1 1
IL12RB1 0
PCTP 0
CHIC2 1
SLC30A10 0
KCNN3 0
ZNF557 0
FNDC7 0
ATP10B 0
MDM1 0
RIMKLA 0
UGT1A6 0
COL1A2 1
CCNK 1
CAST 1
QTRT1 0
SPDYE1 0
FAM81B 0
C1QA 0
PADI1 0
TXNL4A 1
NR2F6 0
RAI1 1
GSTT2B 0
C9orf174 0
VSTM2A 0
PRB3 0
CORO7 0
LMBR1L 0
RCC1 1
GUCY2F 0
ZNRF4 0
MYO5A 0
PTDSS1 1
ABCA13 0
C10orf114 0
MAS1 0
SEPT3 0
RDBP 1
SALL1 0
NELL2 0
RCOR1 0
LRRC30 0
CLINT1 1
PACRGL 0
SARS2 0
PAPD4 1
PSG9 0
GPR98 0
SYPL1 1
ACSL6 0
NAPSA 1
CRIP3 0
TNFAIP8L3 0
HIST1H1B 0
KRT8 0
ATCAY 0
PTRF 1
GPR65 0
MRPS14 1
FKBP11 0
TMEM184C 1
KBTBD6 0
DPM2 0
AKR1A1 0
EIF2B4 1
NUDT17 0
ZFP41 0
MRPS7 1
GPKOW 0
MTNR1A 0
KIAA0090 1
PCYOX1L 0
TBCEL 0
TRIM54 0
CELSR2 0
KRT81 1
LRRC8D 1
MZF1 0
CYP2D6 0
DCBLD1 1
SLC45A1 0
TRIP11 1
TRAPPC5 1
TKTL2 0
ZNF519 0
NR2C2 0
C4orf21 0
OR2J3 0
AGMAT 0
ARHGAP12 0
LOC402160 0
PLK2 0
FAM108A1 1
NT5C1A 0
PPFIA4 1
SLC9C2 0
KCNJ5 0
EIF3I 1
LCE1E 0
SSR4 0
DPH5 1
EIF3F 1
CALB2 0
HEXIM2 0
MT-CO3 1
MYO18B 0
KIAA0930 0
SEC22B 1
PPM1G 1
EIF6 1
HTN1 0
ARVCF 0
GCHFR 1
RPL36 1
TRERF1 1
VDR 1
GNB1L 1
RUSC1-AS1 0
PTPN22 0
KCNH4 0
WFDC10B 0
TATDN3 0
GABPB1 0
ABCB7 0
TAF9B 0
KLHL20 1
TRAT1 0
HAVCR1 0
GRHL2 0
MEI1 0
PDF 0
SLC15A3 1
DLGAP2 0
KPTN 0
MORN1 0
C17orf105 0
BBS1 0
C4orf48 1
C17orf81 0
FAM69B 1
HOXC10 0
PIGA 1
MAGED4 0
RPS6KB1 1
SSB 1
LARGE 0
YLPM1 1
LRRC37A3 0
SPHK1 1
CLDN7 1
SLC16A8 0
IL27 0
RAB11FIP4 0
GFOD2 0
RRNAD1 0
ANKRD20A3 0
GOLGA5 1
TEX2 1
FCGR3B 0
KLHL35 0
YY2 0
ANKIB1 1
BIRC8 0
NRBP1 1
LXN 1
PSMD4 0
MAP7D3 0
CEACAM19 0
DACT1 1
GPCRLTM7 0
CHN2 0
PRSS21 0
RSG1 1
GLRX3 1
RNF43 0
FARSB 1
PISD 0
IFT57 1
ZFAND1 1
FUZ 0
TBRG1 0
PTPRD 1
NPSR1 0
OR52K1 0
LPP 0
AGGF1 1
ELL2 1
UBE2D3 1
WBP1 0
SEPT6 1
CEACAM6 1
GAS2L2 0
GTF3C5 0
USP21 0
C2orf73 0
PGA3 0
NMNAT3 0
SLC6A7 0
DUSP18 1
PLCD1 1
KLHL7 0
TRIM64B 0
KCNJ4 0
BTK 0
C14orf38 0
ERN1 0
PUS7L 0
NKX1-2 0
GDPD1 0
ZNF215 0
TYMS 1
LOC100130480 0
MPPE1 1
SHC2 0
GNG8 0
MANEA 0
C10orf113 0
GSG1L 0
COQ10A 1
FUT4 0
GCM1 0
CD40 1
SYNPO2L 0
ST3GAL2 0
C19orf57 0
RAP1A 0
GAST 0
OR6K3 0
MYCT1 1
GPN1 1
CYB5R4 0
RAB39A 0
CACNB3 0
FRMPD4 1
LRRC34 1
LENG1 1
ZNF77 0
GAGE2E 0
GMNN 0
UNC5D 0
C8orf73 0
LCNL1 0
TMEM203 1
NUP62 0
RAB11FIP2 1
SKI 1
SENP1 0
CRCT1 0
CXXC4 0
GPR143 0
GABARAP 1
B3GNTL1 1
RPE 0
KLHDC2 0
AGRP 0
TMEM97 0
ZMYND10 0
ANAPC10 1
TLK2 1
ACY1 1
CYTH2 1
ST20 0
PPP2R3C 0
ABCC6 0
DEFB127 0
ME1 1
CD163L1 1
ANKRD63 0
PIK3CG 0
STAC 0
CYP2F1 0
LEPROTL1 1
BLK 0
URB2 0
GNPDA1 0
KRTAP26-1 0
CHST10 0
PCDHGA10 1
KCNC4 0
PIM2 1
ZNF81 0
SPARCL1 0
MVP 0
KYNU 0
DRP2 1
SERTAD3 1
FAM109A 0
GNPTG 1
FMR1 1
HHLA3 1
MORC2 1
ZNF805 0
TRMT2B 1
GRIN1 0
OXNAD1 0
EBF2 0
CD69 0
OXTR 1
RFX7 0
POTEM 0
PROCR 1
FER1L6 0
TEX13A 0
KIAA1024 0
ZBP1 0
GRB10 1
KCNQ4 0
C6orf7 1
TNPO2 1
EMX1 0
OVOL2 0
RFX8 1
M6PR 0
TMEM31 0
DNAJB14 0
PPAP2C 1
WASL 0
MPLKIP 1
RHOF 0
CCDC39 0
CLUL1 0
TRPM1 0
MOS 0
GJB3 0
AIG1 1
ZNF428 0
MOSPD1 1
KLF13 1
ALDH8A1 0
CECR5 0
KAL1 0
RGR 0
BRMS1L 0
TRPM3 1
PRAMEF9 0
ACTRT1 0
MS4A4A 0
C10orf128 0
DENND2A 0
